areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E12000001,North East,region,2022-06-23,25_29,0,1,0.6
E12000001,North East,region,2022-06-23,30_34,0,0,0.0
E12000001,North East,region,2022-06-23,35_39,0,1,0.6
E12000001,North East,region,2022-06-23,40_44,0,0,0.0
E12000001,North East,region,2022-06-23,45_49,0,1,0.6
E12000001,North East,region,2022-06-23,50_54,0,2,1.1
E12000001,North East,region,2022-06-23,55_59,1,1,0.5
E12000001,North East,region,2022-06-23,60+,6,26,3.7
E12000001,North East,region,2022-06-23,60_64,0,0,0.0
E12000001,North East,region,2022-06-23,65_69,0,1,0.7
E12000001,North East,region,2022-06-23,70_74,1,3,2.0
E12000001,North East,region,2022-06-23,75_79,1,6,6.0
E12000001,North East,region,2022-06-23,80_84,0,9,12.1
E12000001,North East,region,2022-06-23,85_89,1,3,6.8
E12000001,North East,region,2022-06-23,90+,3,4,17.7
E12000001,North East,region,2022-06-22,00_04,0,0,0.0
E12000001,North East,region,2022-06-22,00_59,0,5,0.3
E12000001,North East,region,2022-06-22,05_09,0,0,0.0
E12000001,North East,region,2022-06-22,10_14,0,0,0.0
E12000001,North East,region,2022-06-22,15_19,0,0,0.0
E12000001,North East,region,2022-06-22,20_24,0,0,0.0
E12000001,North East,region,2022-06-22,25_29,0,1,0.6
E12000001,North East,region,2022-06-22,30_34,0,0,0.0
E12000001,North East,region,2022-06-22,35_39,0,1,0.6
E12000001,North East,region,2022-06-22,40_44,0,0,0.0
E12000001,North East,region,2022-06-22,45_49,0,1,0.6
E12000001,North East,region,2022-06-22,50_54,0,2,1.1
E12000001,North East,region,2022-06-22,55_59,0,0,0.0
E12000001,North East,region,2022-06-22,60+,3,25,3.5
E12000001,North East,region,2022-06-22,60_64,0,0,0.0
E12000001,North East,region,2022-06-22,65_69,0,1,0.7
E12000001,North East,region,2022-06-22,70_74,0,3,2.0
E12000001,North East,region,2022-06-22,75_79,1,5,5.0
E12000001,North East,region,2022-06-22,80_84,2,9,12.1
E12000001,North East,region,2022-06-22,85_89,0,5,11.4
E12000001,North East,region,2022-06-22,90+,0,2,8.9
E12000001,North East,region,2022-06-21,00_04,0,0,0.0
E12000001,North East,region,2022-06-21,00_59,0,5,0.3
E12000001,North East,region,2022-06-21,05_09,0,0,0.0
E12000001,North East,region,2022-06-21,10_14,0,0,0.0
E12000001,North East,region,2022-06-21,15_19,0,0,0.0
